id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,file span,97,67,13,100,460,ship,baseline,monotonic-signal
g002,terminal width,70,42,11,69,308,ship,edge,drag-penalty
g003,argument risk,60,67,33,99,248,ship,recovery,confidence-floor
g004,report density,103,12,24,34,247,ship,negative,lane-boundary
g005,file span,40,22,21,92,151,watch,baseline,monotonic-signal
g006,terminal width,56,65,42,83,171,watch,edge,drag-penalty
g007,argument risk,111,19,12,40,351,ship,recovery,confidence-floor
g008,report density,98,33,41,66,221,ship,negative,lane-boundary
g009,file span,95,43,36,83,274,ship,baseline,monotonic-signal
g010,terminal width,97,50,35,96,312,ship,edge,drag-penalty
g011,argument risk,102,21,36,21,189,ship,recovery,confidence-floor
g012,report density,64,44,17,31,226,ship,negative,lane-boundary
g013,file span,48,58,13,84,279,ship,baseline,monotonic-signal
g014,terminal width,88,33,8,72,362,ship,edge,drag-penalty
g015,argument risk,111,58,28,70,379,ship,recovery,confidence-floor
g016,report density,82,73,19,74,371,ship,negative,lane-boundary
g017,file span,71,48,16,37,266,ship,baseline,monotonic-signal
g018,terminal width,69,73,16,66,339,ship,edge,drag-penalty
g019,argument risk,116,18,17,85,384,ship,recovery,confidence-floor
g020,report density,99,28,40,99,252,ship,negative,lane-boundary
g021,file span,50,35,11,68,233,ship,baseline,monotonic-signal
g022,terminal width,73,76,19,98,374,ship,edge,drag-penalty
g023,argument risk,44,64,4,33,273,ship,recovery,confidence-floor
g024,report density,77,26,40,91,174,watch,negative,lane-boundary
g025,file span,53,59,38,82,169,watch,baseline,monotonic-signal
g026,terminal width,88,28,18,39,269,ship,edge,drag-penalty
g027,argument risk,65,50,9,65,315,ship,recovery,confidence-floor
g028,report density,101,29,6,82,413,ship,negative,lane-boundary
g029,file span,79,56,27,95,309,ship,baseline,monotonic-signal
g030,terminal width,71,72,39,20,182,watch,edge,drag-penalty
g031,argument risk,115,47,26,30,339,ship,recovery,confidence-floor
g032,report density,50,72,21,83,272,ship,negative,lane-boundary
g033,file span,111,17,20,71,338,ship,baseline,monotonic-signal
g034,terminal width,101,27,21,69,321,ship,edge,drag-penalty
g035,argument risk,56,70,44,73,161,watch,recovery,confidence-floor
g036,report density,81,24,40,36,127,watch,negative,lane-boundary
g037,file span,97,38,35,65,257,ship,baseline,monotonic-signal
g038,terminal width,64,48,13,84,307,ship,edge,drag-penalty
g039,argument risk,51,55,4,98,341,ship,recovery,confidence-floor
g040,report density,48,26,43,67,48,hold,negative,lane-boundary
g041,file span,50,49,43,97,130,watch,baseline,monotonic-signal
g042,terminal width,55,63,44,32,103,hold,edge,drag-penalty
g043,argument risk,105,38,25,90,356,ship,recovery,confidence-floor
g044,report density,89,63,38,81,284,ship,negative,lane-boundary
g045,file span,41,8,4,38,157,watch,baseline,monotonic-signal
g046,terminal width,64,53,31,64,207,ship,edge,drag-penalty
g047,argument risk,35,8,25,81,77,hold,recovery,confidence-floor
g048,report density,112,23,23,94,361,ship,negative,lane-boundary
g049,file span,110,33,45,105,276,ship,baseline,monotonic-signal
g050,terminal width,69,40,36,29,136,watch,edge,drag-penalty
g051,argument risk,52,11,33,82,95,hold,recovery,confidence-floor
g052,report density,91,69,12,70,421,ship,negative,lane-boundary
g053,file span,114,31,24,68,352,ship,baseline,monotonic-signal
g054,terminal width,85,64,11,72,400,ship,edge,drag-penalty
g055,argument risk,30,33,6,35,161,watch,recovery,confidence-floor
g056,report density,94,55,5,64,431,ship,negative,lane-boundary
g057,file span,41,34,6,83,244,ship,baseline,monotonic-signal
